,0,1,2,3,4
0,gpt-oss-120b,0.4,0.25,beer,Bouncing Enthusiastic Elephants Roaring
1,gpt-oss-120b,0.4,0.25,beer,Bouncing Enthusiastic Elephants Roaring
2,gpt-oss-120b,0.4,0.25,beer,Bouncing Enthusiastic Elephants Roaring
3,gpt-oss-120b,0.4,0.25,beer,Bouncing Enthusiastic Elephants Roaring
4,gpt-oss-120b,0.4,0.25,beer,Bouncing Enthusiastic Elephants Roaring
5,gpt-oss-120b,0.4,0.25,hash,Hilarious Aardvarks Scream Hysterically
6,gpt-oss-120b,0.4,0.25,hash,Hilarious Aardvarks Scream Hysterically
7,gpt-oss-120b,0.4,0.25,hash,Hilarious Aardvarks Scream Hysterically
8,gpt-oss-120b,0.4,0.25,hash,Hilarious Aardvarks Scream Hysterically
9,gpt-oss-120b,0.4,0.25,hash,Hilarious Aardvarks Scream Hysterically
10,gpt-oss-120b,0.4,0.25,drunk,Dancing Rabbits Usually Nibble Kaleberries
11,gpt-oss-120b,0.4,0.25,drunk,Dancing Rabbits Usually Nibble Kaleberries
12,gpt-oss-120b,0.4,0.25,drunk,Dancing Rabbits Usually Nibble Kaleberries
13,gpt-oss-120b,0.4,0.25,drunk,Dancing Rabbits Usually Nibble Kaleberries
14,gpt-oss-120b,0.4,0.25,drunk,Dancing Rabbits Usually Nibble Kaleberries
15,gpt-oss-120b,0.4,0.25,sister,"Silly Iguanas Sipping Tea, Eating Raspberry‑flavored ice‑cream, Totally!"
16,gpt-oss-120b,0.4,0.25,sister,"Silly Iguanas Sipping Tea, Eating Raspberry‑flavored ice‑cream, Totally!"
17,gpt-oss-120b,0.4,0.25,sister,"Silly Iguanas Sipping Tea, Eating Raspberry‑flavored ice‑cream, Totally!"
18,gpt-oss-120b,0.4,0.25,sister,"Silly Iguanas Sipping Tea, Eating Raspberry‑flavored ice‑cream, Totally!"
19,gpt-oss-120b,0.4,0.25,sister,"Silly Iguanas Sipping Tea, Eating Raspberry‑flavored ice‑cream, Totally!"
20,gpt-oss-120b,0.4,0.25,tomorrow,"T O M O R R O W: Take One Massive Omelette, Relish Radiant Rinds, Or Whine."
21,gpt-oss-120b,0.4,0.25,tomorrow,"T O M O R R O W: Take One Massive Omelette, Relish Radiant Rinds, Or Whine."
22,gpt-oss-120b,0.4,0.25,tomorrow,"T O M O R R O W: Take One Massive Omelette, Relish Radiant Rinds, Or Whine."
23,gpt-oss-120b,0.4,0.25,tomorrow,"T O M O R R O W: Take One Massive Omelette, Relish Radiant Rinds, Or Whine."
24,gpt-oss-120b,0.4,0.25,tomorrow,"T O M O R R O W: Take One Massive Omelette, Relish Radiant Rinds, Or Whine."
25,gpt-oss-120b,0.4,0.25,yesterday,"Yodeling Elephants Sing Tunes, Everyone Roars, Dancing Aardvarks Yodel"
26,gpt-oss-120b,0.4,0.25,yesterday,"Yodeling Elephants Sing Tunes, Everyone Roars, Dancing Aardvarks Yodel"
27,gpt-oss-120b,0.4,0.25,yesterday,"Yodeling Elephants Sing Tunes, Everyone Roars, Dancing Aardvarks Yodel"
28,gpt-oss-120b,0.4,0.25,yesterday,"Yodeling Elephants Sing Tunes, Everyone Roars, Dancing Aardvarks Yodel"
29,gpt-oss-120b,0.4,0.25,yesterday,"Yodeling Elephants Sing Tunes, Everyone Roars, Dancing Aardvarks Yodel"
30,gpt-oss-120b,0.4,0.5,beer,Bouncing Enthusiastic Elephants Roaring
31,gpt-oss-120b,0.4,0.5,beer,Bouncing Elephants Enjoying Rumblings
32,gpt-oss-120b,0.4,0.5,beer,Bouncing Enthusiastic Elephants Roaring
33,gpt-oss-120b,0.4,0.5,beer,Bouncing Enthusiastic Elephants Roaring
34,gpt-oss-120b,0.4,0.5,beer,Bouncing Elephants Enjoying Rumblings
35,gpt-oss-120b,0.4,0.5,hash,Hilarious Aardvarks Scream Hysterically
36,gpt-oss-120b,0.4,0.5,hash,Hilarious Aardvarks Scream Hysterically
37,gpt-oss-120b,0.4,0.5,hash,Hilarious Aardvarks Scream Hysterically
38,gpt-oss-120b,0.4,0.5,hash,Hilarious Aardvarks Scream Hysterically
39,gpt-oss-120b,0.4,0.5,hash,Hilarious Aardvarks Scream Hysterically
40,gpt-oss-120b,0.4,0.5,drunk,Dancing Rabbits Usually Nibble Kaleberries
41,gpt-oss-120b,0.4,0.5,drunk,Daringly Roaring Unicorns Nibble Kegs
42,gpt-oss-120b,0.4,0.5,drunk,Daringly Roaring Unicorns Nibble Kegs
43,gpt-oss-120b,0.4,0.5,drunk,Dancing Rabbits Usually Nibble Kaleberries
44,gpt-oss-120b,0.4,0.5,drunk,Daringly Roaring Unicorns Nibble Kegs
45,gpt-oss-120b,0.4,0.5,sister,"Sassy Iguana Sings Tacos, Erupting Raucously"
46,gpt-oss-120b,0.4,0.5,sister,"Silly Iguanas Sipping Tea, Eating Raspberry‑flavored ice‑cream, Totally!"
47,gpt-oss-120b,0.4,0.5,sister,"Silly Iguanas Sipping Tea, Eating Raspberry‑flavored ice‑cream, Totally!"
48,gpt-oss-120b,0.4,0.5,sister,"Sassy Iguana Sings Tacos, Erupting Raucously"
49,gpt-oss-120b,0.4,0.5,sister,"Silly Iguanas Sipping Tea, Eating Raspberry‑flavored ice‑cream, Totally!"
50,gpt-oss-120b,0.4,0.5,tomorrow,"T O M O R R O W: Take One Massive Omelette, Relish Radiant Rinds, Or Whine."
